episode,avg_travel_time,total,complete,ratio,stops
1,788.15,2586,2058,0.8,1974
2,717.27,2810,2209,0.79,2190
3,661.44,2903,2261,0.78,2285
4,603.72,2948,2378,0.81,2325
5,584.55,2983,2427,0.81,2353
6,513.83,2983,2581,0.87,2336
7,457.88,2983,2659,0.89,2351
8,454.83,2983,2631,0.88,2341
9,425.88,2983,2680,0.9,2310
10,409.36,2983,2684,0.9,2314
11,408.59,2983,2693,0.9,2324
12,392.5,2983,2687,0.9,2321
13,384.59,2983,2690,0.9,2302
14,379.15,2983,2705,0.91,2298
15,376.35,2983,2716,0.91,2304
16,372.87,2983,2695,0.9,2308
17,367.17,2983,2705,0.91,2297
18,365.14,2983,2710,0.91,2268
19,361.81,2983,2712,0.91,2263
20,360.85,2983,2705,0.91,2276
21,357.92,2983,2715,0.91,2270
22,354.64,2983,2717,0.91,2258
23,351.75,2983,2715,0.91,2273
24,349.19,2983,2718,0.91,2266
25,347.72,2983,2718,0.91,2249
26,347.12,2983,2720,0.91,2277
27,344.96,2983,2723,0.91,2239
28,343.85,2983,2722,0.91,2269
29,342.86,2983,2723,0.91,2268
30,340.56,2983,2727,0.91,2242
31,340.66,2983,2729,0.91,2225
32,339.2,2983,2726,0.91,2256
33,337.65,2983,2728,0.91,2265
34,337.92,2983,2723,0.91,2250
35,335.88,2983,2735,0.92,2255
36,334.82,2983,2731,0.92,2257
37,332.85,2983,2737,0.92,2231
38,332.6,2983,2730,0.92,2259
39,332.97,2983,2729,0.91,2252
40,333.04,2983,2737,0.92,2251
41,330.48,2983,2733,0.92,2233
42,332.27,2983,2735,0.92,2228
43,330.21,2983,2738,0.92,2226
44,330.19,2983,2737,0.92,2242
45,328.82,2983,2736,0.92,2238
46,327.68,2983,2739,0.92,2230
47,328.09,2983,2734,0.92,2205
48,327.72,2983,2736,0.92,2242
49,327.87,2983,2736,0.92,2238
50,327.82,2983,2739,0.92,2232
51,328.02,2983,2738,0.92,2214
52,326.99,2983,2734,0.92,2228
53,327.18,2983,2738,0.92,2220
54,326.26,2983,2744,0.92,2225
55,325.91,2983,2741,0.92,2208
56,326.0,2983,2738,0.92,2240
57,325.87,2983,2739,0.92,2208
58,325.17,2983,2740,0.92,2218
59,325.24,2983,2741,0.92,2219
60,326.29,2983,2740,0.92,2233
61,324.25,2983,2740,0.92,2221
62,324.85,2983,2739,0.92,2204
63,324.8,2983,2739,0.92,2226
64,324.34,2983,2744,0.92,2218
65,322.87,2983,2740,0.92,2212
66,322.58,2983,2740,0.92,2186
67,323.37,2983,2739,0.92,2218
68,323.7,2983,2744,0.92,2210
69,323.05,2983,2743,0.92,2217
70,322.58,2983,2742,0.92,2211
71,322.41,2983,2740,0.92,2193
72,322.14,2983,2741,0.92,2200
73,323.46,2983,2744,0.92,2210
74,321.82,2983,2741,0.92,2218
75,322.54,2983,2743,0.92,2221
76,322.71,2983,2743,0.92,2219
77,322.2,2983,2743,0.92,2192
78,321.69,2983,2744,0.92,2222
79,321.56,2983,2741,0.92,2198
80,322.17,2983,2745,0.92,2203
81,322.68,2983,2743,0.92,2201
82,321.47,2983,2741,0.92,2196
83,322.25,2983,2742,0.92,2200
84,321.82,2983,2741,0.92,2212
85,321.29,2983,2740,0.92,2202
86,321.32,2983,2742,0.92,2199
87,321.29,2983,2743,0.92,2201
88,321.26,2983,2740,0.92,2207
89,320.49,2983,2742,0.92,2207
90,321.18,2983,2742,0.92,2224
91,321.98,2983,2740,0.92,2215
92,321.38,2983,2742,0.92,2200
93,320.95,2983,2744,0.92,2208
94,321.16,2983,2741,0.92,2196
95,320.56,2983,2743,0.92,2216
96,320.75,2983,2743,0.92,2210
97,320.11,2983,2744,0.92,2197
98,320.68,2983,2741,0.92,2205
99,320.86,2983,2743,0.92,2221
100,320.5,2983,2743,0.92,2192
101,320.41,2983,2743,0.92,2195
102,320.02,2983,2743,0.92,2207
103,320.14,2983,2744,0.92,2217
104,320.51,2983,2744,0.92,2206
105,320.89,2983,2744,0.92,2234
106,319.71,2983,2743,0.92,2216
107,320.81,2983,2746,0.92,2225
108,320.76,2983,2744,0.92,2201
109,319.67,2983,2743,0.92,2174
110,318.73,2983,2747,0.92,2159
111,320.91,2983,2743,0.92,2215
112,320.63,2983,2743,0.92,2205
113,320.03,2983,2746,0.92,2203
114,320.05,2983,2741,0.92,2199
115,319.81,2983,2743,0.92,2205
116,320.39,2983,2744,0.92,2203
117,320.59,2983,2742,0.92,2174
118,319.56,2983,2742,0.92,2196
119,320.72,2983,2742,0.92,2195
120,319.61,2983,2741,0.92,2171
121,319.66,2983,2747,0.92,2182
122,320.33,2983,2742,0.92,2202
123,320.08,2983,2741,0.92,2200
124,320.17,2983,2746,0.92,2199
125,320.4,2983,2742,0.92,2196
126,319.93,2983,2744,0.92,2199
127,320.12,2983,2743,0.92,2200
128,320.08,2983,2745,0.92,2186
129,319.88,2983,2746,0.92,2197
130,319.75,2983,2744,0.92,2202
131,319.97,2983,2744,0.92,2221
132,319.33,2983,2743,0.92,2200
133,320.32,2983,2744,0.92,2203
134,319.85,2983,2744,0.92,2195
135,319.55,2983,2742,0.92,2196
136,319.84,2983,2745,0.92,2182
137,319.54,2983,2744,0.92,2193
138,319.54,2983,2743,0.92,2193
139,319.35,2983,2745,0.92,2222
