episode,avg_travel_time,total,complete,ratio,stops
1,987.35,5585,3385,0.61,5350
2,1016.06,5647,3258,0.58,5389
3,987.74,5641,3471,0.62,5401
4,1056.01,5541,3037,0.55,5289
5,1038.41,5609,2886,0.51,5369
6,967.23,5546,3625,0.65,5291
7,942.67,5669,3702,0.65,5418
8,929.19,5672,3741,0.66,5418
9,960.45,5713,3481,0.61,5455
10,959.08,5683,3652,0.64,5419
11,914.95,5725,3834,0.67,5466
12,904.2,5767,3989,0.69,5513
13,883.84,5778,3790,0.66,5512
14,946.28,5705,3339,0.59,5455
15,915.8,5740,3564,0.62,5476
16,962.11,5742,3262,0.57,5484
17,892.74,5773,3677,0.64,5501
18,889.81,5754,3891,0.68,5487
19,881.45,5820,3996,0.69,5560
20,836.87,5772,4168,0.72,5506
21,848.09,5761,4116,0.71,5492
22,820.9,5891,4310,0.73,5623
23,799.02,5835,4493,0.77,5563
24,811.01,5870,4371,0.74,5608
25,839.11,5843,3917,0.67,5575
26,787.57,5930,4520,0.76,5671
27,782.42,5916,4534,0.77,5639
28,807.99,5938,4308,0.73,5680
29,784.42,5907,4555,0.77,5623
30,776.92,5919,4537,0.77,5661
31,776.9,5901,4556,0.77,5636
32,776.1,5930,4535,0.76,5657
33,763.86,5924,4622,0.78,5653
34,755.93,5929,4634,0.78,5661
35,754.11,5942,4563,0.77,5678
36,760.46,5910,4638,0.78,5639
37,767.3,5892,4483,0.76,5614
38,764.84,5934,4594,0.77,5674
39,758.89,5911,4554,0.77,5640
40,767.73,5913,4511,0.76,5628
41,762.86,5927,4637,0.78,5651
42,755.94,5903,4616,0.78,5636
43,767.08,5899,4528,0.77,5610
44,771.26,5933,4494,0.76,5657
45,761.59,5918,4531,0.77,5645
46,748.57,5914,4615,0.78,5645
47,770.69,5896,4494,0.76,5639
48,756.94,5900,4551,0.77,5643
49,766.35,5893,4515,0.77,5619
50,760.37,5901,4560,0.77,5644
51,764.64,5898,4511,0.76,5626
52,747.03,5903,4634,0.79,5616
53,744.91,5928,4697,0.79,5650
54,746.58,5912,4545,0.77,5638
55,748.13,5881,4600,0.78,5610
56,755.47,5891,4527,0.77,5623
57,797.51,5891,4190,0.71,5629
58,739.53,5920,4661,0.79,5656
59,743.8,5910,4529,0.77,5632
60,796.74,5861,4091,0.7,5590
61,828.65,5833,3904,0.67,5571
62,733.66,5914,4683,0.79,5642
63,759.69,5893,4493,0.76,5630
64,744.64,5910,4638,0.78,5649
65,745.92,5934,4683,0.79,5679
66,741.89,5908,4636,0.78,5640
67,736.09,5941,4638,0.78,5662
68,738.65,5897,4679,0.79,5624
69,747.73,5901,4604,0.78,5629
70,726.4,5911,4704,0.8,5627
71,715.92,5941,4775,0.8,5673
72,719.08,5918,4737,0.8,5634
73,731.42,5905,4695,0.8,5631
74,725.87,5894,4692,0.8,5611
75,762.36,5890,4327,0.73,5618
76,758.27,5891,4438,0.75,5620
77,753.85,5882,4576,0.78,5614
