episode,avg_travel_time,total,complete,ratio,stops
1,601.31,5949,4393,0.74,5604
2,498.24,5993,4848,0.81,5633
3,462.46,5988,4955,0.83,5626
4,413.61,5997,5123,0.85,5625
5,371.03,5997,5303,0.88,5616
6,352.43,5997,5365,0.89,5599
7,335.13,5997,5371,0.9,5617
8,322.56,5997,5419,0.9,5581
9,309.9,5997,5435,0.91,5593
10,304.48,5997,5437,0.91,5608
11,298.79,5997,5459,0.91,5590
12,290.37,5997,5473,0.91,5587
13,289.95,5997,5489,0.92,5587
14,283.19,5997,5493,0.92,5562
15,282.37,5997,5500,0.92,5578
16,279.26,5997,5502,0.92,5576
17,277.8,5997,5494,0.92,5591
18,275.6,5997,5506,0.92,5591
19,276.38,5997,5514,0.92,5584
20,273.51,5997,5512,0.92,5570
21,271.77,5997,5521,0.92,5588
22,272.19,5997,5522,0.92,5594
23,270.93,5997,5511,0.92,5606
24,270.41,5997,5514,0.92,5581
25,268.84,5997,5518,0.92,5574
26,268.67,5997,5527,0.92,5584
27,268.89,5997,5520,0.92,5585
28,268.31,5997,5530,0.92,5578
29,267.76,5997,5518,0.92,5586
30,268.13,5997,5529,0.92,5572
31,266.86,5997,5524,0.92,5584
32,266.68,5997,5520,0.92,5579
33,267.09,5997,5537,0.92,5601
34,267.02,5997,5523,0.92,5594
35,265.79,5997,5526,0.92,5579
36,266.14,5997,5521,0.92,5596
37,266.21,5997,5533,0.92,5584
38,265.85,5997,5531,0.92,5584
39,265.48,5997,5534,0.92,5586
40,266.53,5997,5531,0.92,5602
41,265.21,5997,5526,0.92,5600
42,264.92,5997,5534,0.92,5606
43,264.1,5997,5523,0.92,5598
44,265.09,5997,5528,0.92,5592
45,264.64,5997,5527,0.92,5608
46,264.53,5997,5541,0.92,5589
47,264.53,5997,5524,0.92,5585
48,264.46,5997,5531,0.92,5582
49,264.1,5997,5528,0.92,5579
50,263.92,5997,5524,0.92,5593
51,264.53,5997,5533,0.92,5599
52,263.53,5997,5546,0.92,5597
53,264.22,5997,5532,0.92,5598
54,263.63,5997,5531,0.92,5600
55,263.89,5997,5526,0.92,5599
56,263.89,5997,5519,0.92,5608
57,263.32,5997,5535,0.92,5614
58,263.25,5997,5523,0.92,5591
59,263.71,5997,5531,0.92,5595
60,263.9,5997,5530,0.92,5604
61,263.26,5997,5522,0.92,5609
62,262.73,5997,5533,0.92,5594
63,262.21,5997,5537,0.92,5596
64,262.56,5997,5548,0.93,5576
65,264.27,5997,5536,0.92,5589
66,262.87,5997,5537,0.92,5592
67,262.37,5997,5542,0.92,5588
68,263.34,5997,5527,0.92,5604
69,262.35,5997,5536,0.92,5591
70,263.49,5997,5533,0.92,5598
71,263.9,5997,5532,0.92,5597
72,262.0,5997,5537,0.92,5591
73,262.12,5997,5545,0.92,5601
74,263.61,5997,5540,0.92,5604
75,262.47,5997,5540,0.92,5590
76,263.59,5997,5536,0.92,5599
77,261.86,5997,5539,0.92,5588
78,262.87,5997,5536,0.92,5611
79,262.53,5997,5527,0.92,5589
80,263.61,5997,5539,0.92,5585
81,262.13,5997,5535,0.92,5595
82,263.17,5997,5533,0.92,5602
83,262.09,5997,5533,0.92,5603
84,262.87,5997,5528,0.92,5607
85,262.61,5997,5536,0.92,5595
86,261.86,5997,5529,0.92,5589
87,263.05,5997,5537,0.92,5593
88,262.8,5997,5537,0.92,5599
89,262.42,5997,5535,0.92,5603
90,262.56,5997,5530,0.92,5604
91,262.2,5997,5537,0.92,5586
92,262.52,5997,5537,0.92,5606
93,261.55,5997,5534,0.92,5596
94,261.97,5997,5530,0.92,5588
95,262.08,5997,5535,0.92,5598
96,261.67,5997,5535,0.92,5597
97,262.25,5997,5529,0.92,5597
98,261.76,5997,5531,0.92,5604
99,261.4,5997,5535,0.92,5603
100,261.32,5997,5530,0.92,5590
101,261.73,5997,5536,0.92,5605
102,261.04,5997,5532,0.92,5608
103,262.14,5997,5541,0.92,5596
104,261.27,5997,5526,0.92,5603
105,261.34,5997,5540,0.92,5610
106,261.76,5997,5545,0.92,5594
107,261.37,5997,5532,0.92,5600
108,262.03,5997,5535,0.92,5617
109,262.07,5997,5534,0.92,5600
110,262.31,5997,5530,0.92,5593
111,262.26,5997,5534,0.92,5602
112,261.82,5997,5532,0.92,5600
113,260.64,5997,5539,0.92,5588
114,260.85,5997,5534,0.92,5590
115,261.86,5997,5531,0.92,5605
116,260.61,5997,5541,0.92,5600
117,261.56,5997,5538,0.92,5598
118,260.96,5997,5526,0.92,5605
119,261.07,5997,5535,0.92,5589
120,260.74,5997,5547,0.92,5604
121,261.06,5997,5542,0.92,5602
122,261.84,5997,5531,0.92,5607
123,260.93,5997,5541,0.92,5597
124,262.44,5997,5540,0.92,5580
125,261.47,5997,5535,0.92,5597
126,261.31,5997,5535,0.92,5604
127,260.88,5997,5541,0.92,5580
128,262.01,5997,5530,0.92,5605
129,261.58,5997,5544,0.92,5598
130,261.41,5997,5534,0.92,5601
131,260.84,5997,5537,0.92,5614
132,261.37,5997,5541,0.92,5599
133,260.99,5997,5536,0.92,5603
134,260.8,5997,5539,0.92,5586
135,260.87,5997,5540,0.92,5601
