episode,avg_travel_time,total,complete,ratio,stops
1,706.05,2989,2471,0.83,2850
2,698.44,2997,2485,0.83,2852
3,657.54,2997,2580,0.86,2848
4,709.94,2997,2366,0.79,2845
5,636.58,2997,2541,0.85,2840
6,577.23,2997,2735,0.91,2845
7,606.54,2997,2649,0.88,2853
8,564.98,2997,2687,0.9,2845
9,589.33,2997,2511,0.84,2846
10,508.81,2997,2894,0.97,2847
11,526.14,2997,2776,0.93,2845
12,450.27,2997,2898,0.97,2851
13,501.8,2997,2873,0.96,2838
14,463.68,2997,2903,0.97,2845
15,444.83,2997,2924,0.98,2839
16,422.22,2997,2964,0.99,2844
17,534.63,2997,2644,0.88,2839
18,488.48,2997,2729,0.91,2833
19,457.06,2992,2770,0.93,2842
20,537.42,2987,2506,0.84,2826
21,470.25,2997,2696,0.9,2837
22,411.27,2997,2906,0.97,2829
23,397.18,2997,2904,0.97,2840
24,423.3,2997,2825,0.94,2835
25,404.69,2997,2844,0.95,2829
26,363.02,2997,2977,0.99,2840
27,395.33,2997,2850,0.95,2834
28,356.91,2997,2973,0.99,2832
29,362.44,2997,2967,0.99,2831
30,348.45,2997,2967,0.99,2826
31,361.5,2997,2978,0.99,2835
32,340.59,2997,2976,0.99,2824
33,342.85,2997,2975,0.99,2827
34,355.85,2997,2933,0.98,2827
35,334.43,2997,2978,0.99,2831
36,327.56,2997,2977,0.99,2830
37,335.31,2997,2975,0.99,2831
38,330.5,2997,2977,0.99,2828
39,326.75,2997,2980,0.99,2826
40,323.98,2997,2978,0.99,2819
41,317.64,2997,2977,0.99,2820
42,320.88,2997,2974,0.99,2826
43,319.0,2997,2978,0.99,2824
44,317.4,2997,2976,0.99,2819
45,327.59,2997,2980,0.99,2802
46,340.67,2997,2882,0.96,2829
47,310.37,2997,2982,0.99,2822
48,311.59,2997,2975,0.99,2837
49,310.47,2997,2978,0.99,2823
50,310.72,2997,2979,0.99,2819
51,309.9,2997,2980,0.99,2819
52,308.64,2997,2982,0.99,2815
53,332.13,2997,2882,0.96,2816
54,305.93,2997,2981,0.99,2815
55,306.75,2997,2978,0.99,2824
56,300.47,2997,2980,0.99,2809
57,304.35,2997,2981,0.99,2813
58,301.91,2997,2978,0.99,2826
59,303.62,2997,2980,0.99,2825
60,303.63,2997,2983,1.0,2803
61,301.22,2997,2983,1.0,2826
62,299.69,2997,2980,0.99,2819
63,298.77,2997,2981,0.99,2816
64,300.89,2997,2978,0.99,2822
65,297.69,2997,2980,0.99,2822
66,299.49,2997,2980,0.99,2822
67,296.85,2997,2982,0.99,2820
68,294.97,2997,2981,0.99,2808
69,296.24,2997,2982,0.99,2828
70,298.74,2997,2981,0.99,2820
71,296.89,2997,2982,0.99,2827
72,297.34,2997,2980,0.99,2831
73,294.41,2997,2982,0.99,2829
74,295.89,2997,2982,0.99,2813
75,294.02,2997,2982,0.99,2824
76,298.21,2997,2980,0.99,2834
77,294.74,2997,2984,1.0,2808
78,293.92,2997,2977,0.99,2820
79,293.57,2997,2982,0.99,2811
80,292.4,2997,2981,0.99,2817
81,293.72,2997,2979,0.99,2811
82,294.56,2997,2982,0.99,2829
83,293.46,2997,2981,0.99,2819
84,290.87,2997,2978,0.99,2823
85,291.05,2997,2981,0.99,2828
86,291.57,2997,2983,1.0,2825
87,293.23,2997,2978,0.99,2814
88,293.34,2997,2982,0.99,2818
89,292.91,2997,2983,1.0,2820
90,290.8,2997,2981,0.99,2820
91,292.33,2997,2981,0.99,2829
92,288.37,2997,2982,0.99,2818
93,291.07,2997,2982,0.99,2809
94,291.57,2997,2985,1.0,2827
95,289.1,2997,2980,0.99,2828
96,290.31,2997,2982,0.99,2828
97,286.38,2997,2982,0.99,2820
98,291.3,2997,2983,1.0,2819
99,290.0,2997,2982,0.99,2826
100,289.23,2997,2981,0.99,2808
101,289.25,2997,2980,0.99,2812
102,287.62,2997,2980,0.99,2813
103,287.97,2997,2982,0.99,2817
104,290.88,2997,2982,0.99,2818
105,287.55,2997,2982,0.99,2815
106,289.28,2997,2983,1.0,2824
107,286.01,2997,2982,0.99,2821
108,288.01,2997,2981,0.99,2811
109,288.34,2997,2983,1.0,2821
110,288.05,2997,2981,0.99,2818
111,286.34,2997,2982,0.99,2808
112,285.71,2997,2983,1.0,2813
113,289.35,2997,2979,0.99,2823
114,287.81,2997,2981,0.99,2814
115,288.46,2997,2981,0.99,2801
116,287.26,2997,2979,0.99,2823
117,290.4,2997,2981,0.99,2819
118,286.89,2997,2982,0.99,2818
119,287.03,2997,2981,0.99,2810
120,287.56,2997,2978,0.99,2802
121,285.0,2997,2982,0.99,2806
122,287.06,2997,2982,0.99,2807
123,284.96,2997,2982,0.99,2801
124,286.45,2997,2982,0.99,2823
125,288.42,2997,2981,0.99,2813
126,285.05,2997,2983,1.0,2804
127,288.55,2997,2982,0.99,2813
128,287.95,2997,2981,0.99,2824
129,285.4,2997,2982,0.99,2815
130,285.68,2997,2983,1.0,2821
131,287.28,2997,2984,1.0,2813
132,284.61,2997,2981,0.99,2811
133,284.68,2997,2983,1.0,2819
134,285.43,2997,2984,1.0,2813
135,286.37,2997,2983,1.0,2826
136,285.01,2997,2983,1.0,2829
137,285.72,2997,2982,0.99,2823
138,284.04,2997,2983,1.0,2831
139,285.91,2997,2984,1.0,2827
140,283.4,2997,2982,0.99,2820
141,285.98,2997,2982,0.99,2820
142,284.94,2997,2982,0.99,2820
143,388.98,2986,2682,0.9,2806
144,284.43,2997,2980,0.99,2830
145,340.09,2997,2829,0.94,2828
146,484.27,2968,2490,0.84,2783
147,413.89,2980,2631,0.88,2805
148,284.74,2997,2982,0.99,2805
149,285.94,2997,2982,0.99,2827
150,447.86,2976,2562,0.86,2807
151,434.19,2977,2594,0.87,2802
152,462.21,2974,2541,0.85,2789
153,409.51,2983,2637,0.88,2792
154,461.52,2975,2537,0.85,2797
155,431.25,2978,2600,0.87,2804
156,287.68,2997,2981,0.99,2812
157,477.54,2963,2523,0.85,2791
158,478.96,2963,2528,0.85,2785
159,329.41,2997,2858,0.95,2820
160,287.27,2997,2982,0.99,2824
161,318.93,2997,2883,0.96,2831
162,289.28,2997,2982,0.99,2826
163,289.14,2997,2980,0.99,2815
164,288.83,2997,2982,0.99,2824
165,288.76,2997,2982,0.99,2814
166,285.45,2997,2982,0.99,2833
167,289.54,2997,2982,0.99,2814
168,288.06,2997,2982,0.99,2826
169,289.38,2997,2982,0.99,2826
170,294.21,2997,2982,0.99,2822
171,288.93,2997,2983,1.0,2824
172,286.37,2997,2985,1.0,2824
173,287.78,2997,2983,1.0,2809
174,286.18,2997,2981,0.99,2817
175,285.93,2997,2983,1.0,2821
176,285.19,2997,2983,1.0,2827
177,286.37,2997,2981,0.99,2830
178,287.31,2997,2983,1.0,2807
179,286.09,2997,2984,1.0,2815
180,285.83,2997,2982,0.99,2816
181,285.94,2997,2981,0.99,2824
182,286.34,2997,2980,0.99,2814
183,284.68,2997,2980,0.99,2827
184,284.49,2997,2981,0.99,2816
185,284.13,2997,2982,0.99,2819
186,284.07,2997,2981,0.99,2820
187,285.62,2997,2981,0.99,2815
188,284.46,2997,2982,0.99,2817
189,283.7,2997,2982,0.99,2815
190,286.15,2997,2982,0.99,2835
191,285.18,2997,2982,0.99,2814
192,284.08,2997,2983,1.0,2809
193,284.22,2997,2983,1.0,2811
194,283.95,2997,2984,1.0,2818
195,284.97,2997,2983,1.0,2821
196,284.79,2997,2983,1.0,2805
197,285.53,2997,2982,0.99,2821
198,283.57,2997,2981,0.99,2814
199,283.48,2997,2983,1.0,2822
200,283.26,2997,2983,1.0,2815
