episode,avg_travel_time,total,complete,ratio,stops
1,353.77,2999,2679,0.89,2770
2,340.41,2999,2695,0.9,2784
3,327.78,2999,2705,0.9,2767
4,319.5,2999,2712,0.9,2760
5,313.27,2999,2719,0.91,2770
6,306.71,2999,2733,0.91,2761
7,302.98,2999,2719,0.91,2777
8,300.25,2999,2731,0.91,2760
9,298.13,2999,2724,0.91,2759
10,295.04,2999,2731,0.91,2751
11,295.6,2999,2733,0.91,2767
12,292.57,2999,2739,0.91,2751
13,292.39,2999,2744,0.91,2752
14,291.55,2999,2734,0.91,2746
15,289.49,2999,2740,0.91,2742
16,289.35,2999,2743,0.91,2755
17,289.32,2999,2738,0.91,2762
18,288.17,2999,2730,0.91,2750
19,289.43,2999,2744,0.91,2752
20,288.12,2999,2742,0.91,2753
21,287.21,2999,2744,0.91,2750
22,288.2,2999,2734,0.91,2770
23,287.18,2999,2742,0.91,2759
24,287.89,2999,2748,0.92,2745
25,287.12,2999,2744,0.91,2757
26,288.01,2999,2736,0.91,2765
27,287.67,2999,2741,0.91,2764
28,288.63,2999,2741,0.91,2759
29,288.08,2999,2743,0.91,2752
30,288.14,2999,2750,0.92,2756
31,287.32,2999,2749,0.92,2770
32,288.04,2999,2746,0.92,2756
33,289.21,2999,2741,0.91,2771
34,287.95,2999,2746,0.92,2764
35,285.95,2999,2745,0.92,2751
36,286.75,2999,2741,0.91,2762
37,288.01,2999,2750,0.92,2740
38,286.26,2999,2739,0.91,2754
39,285.61,2999,2746,0.92,2754
40,285.53,2999,2747,0.92,2744
41,286.76,2999,2744,0.91,2746
42,286.3,2999,2743,0.91,2749
43,286.47,2999,2748,0.92,2761
44,287.14,2999,2738,0.91,2747
45,286.83,2999,2741,0.91,2744
46,286.53,2999,2735,0.91,2748
47,286.47,2999,2753,0.92,2745
48,286.22,2999,2755,0.92,2749
49,286.33,2999,2740,0.91,2744
50,285.65,2999,2744,0.91,2738
51,287.33,2999,2745,0.92,2752
52,285.8,2999,2743,0.91,2748
53,285.83,2999,2752,0.92,2749
54,286.03,2999,2752,0.92,2747
55,285.72,2999,2745,0.92,2739
56,285.28,2999,2740,0.91,2738
57,285.54,2999,2743,0.91,2737
58,285.46,2999,2746,0.92,2748
59,285.88,2999,2744,0.91,2747
60,285.5,2999,2742,0.91,2738
61,285.41,2999,2740,0.91,2750
62,285.77,2999,2747,0.92,2743
63,284.68,2999,2735,0.91,2749
64,284.97,2999,2742,0.91,2738
65,284.94,2999,2746,0.92,2747
66,286.07,2999,2746,0.92,2749
67,284.78,2999,2740,0.91,2741
68,286.66,2999,2752,0.92,2751
69,284.47,2999,2748,0.92,2728
70,286.09,2999,2739,0.91,2742
71,285.01,2999,2754,0.92,2743
72,285.97,2999,2744,0.91,2740
73,285.01,2999,2745,0.92,2741
74,285.43,2999,2746,0.92,2759
